ingredient,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g
custard_apple_annona_squamosa,98.95,1.62,20.38,0.67,5.1
dates_dry_pale_brown_phoenix_dactylifera,320.26,2.45,74.91,0.35,8.95
dates_dry_dark_brown_phoenix_dactylifera,310.94,2.38,72.67,0.35,9.1
dates_processed_phoenix_dactylifera,286.08,1.18,67.95,0.41,6.52
fig_ficus_carica,81.5,2.03,16.28,0.37,4.64
goosberry_emblica_officinalis,23.66,0.34,4.39,0.16,7.75
grapes_seeded_round_black_vitis_vinifera,60.71,0.76,13.23,0.32,1.35
grapes_seeded_round_green_vitis_vinifera,56.17,0.77,12.19,0.29,1.25
grapes_seeded_round_red_vitis_vinifera,58.32,0.95,12.55,0.29,1.28
grapes_seedless_oval_black_vitis_vinifera,94.41,1.41,20.48,0.46,1.64
grapes_seedless_round_green_vitis_vinifera,53.54,0.62,11.81,0.26,1.28
grapes_seedless_round_black_vitis_vinifera,89.39,1.24,19.86,0.35,1.15
guava_white_flesh_psidium_guajava,32.27,1.44,5.13,0.32,8.59
guava_pink_flesh_psidium_guajava,46.61,1.19,9.14,0.25,7.39
jack_fruit_ripe_artocarpus_heterophyllus,72.18,2.74,14.01,0.15,3.62
jambu_fruit_ripe_syzygium_samarangense,56.17,0.82,12.3,0.17,3.07
karonda_fruit_carissa_carandas,33.7,1.15,2.87,1.67,7.25
lemon_juice_citrus_limon,36.57,0.41,6.97,0.75,0
lime_sweetpulp_citrus_limetta,27.25,0.76,5.18,0.2,2.07
litchi_nephelium_litchi,53.78,0.99,11.41,0.26,1.34
mango_ripe_banganapalli_mangifera_indica,41.83,0.54,8.18,0.55,1.88
mango_ripe_gulabkhas_mangifera_indica,49.95,0.52,10.32,0.53,1.67
mango_ripe_himsagar_mangifera_indica,44.69,0.46,9.03,0.54,1.55
mango_ripe_kesar_mangifera_indica,55.21,0.54,11.36,0.57,2.02
mango_ripe_neelam_mangifera_indica,42.54,0.68,8.21,0.55,1.77
mango_ripe_paheri_mangifera_indica,44.93,0.68,8.67,0.58,1.97
mango_ripe_totapari_mangifera_indica,59.27,0.41,12.75,0.49,1.73
mangosteen_garcinia_mangostana,52.34,0.63,11.41,0.24,1.87
manila_tamarind_pithecellobium_dulce,81.74,3.56,13.54,1.14,4.4
musk_melon_orange_flesh_cucumis_melon,23.18,0.42,4.24,0.35,1.51
musk_melon_yellow_flesh_cucumis_melon,27.72,0.53,5.4,0.26,1.49
orange_pulp_citrus_aurantium,37.28,0.7,7.92,0.13,1.29
palm_fruit_tender_borassus_flabellifer,24.14,0.5,4.92,0.12,2.4
papaya_ripe_carcia_papaya,23.9,0.42,4.61,0.16,2.83
peach_prunus_communis,40.15,0.86,7.82,0.37,2.13
pear_pyrus_sp,37.52,0.36,8.09,0.27,4.48
phalsa_grewia_asiatica,71.46,1.66,15.09,0.14,4.54
pineapple_ananas_comosus,43.02,0.52,9.42,0.16,3.46
plum_prunus_domestica,56.88,0.64,12.1,0.4,2.07
pomegranate_maroon_seeds_punica_granatum,54.73,1.33,11.58,0.15,2.83
pummelo_citrus_maxima,50.19,0.68,10.64,0.42,0.8
raisins_dried_black_vitis_vinifera,305.68,2.57,71.29,0.34,3.92
raisins_dried_golden_vitis_vinifera,296.6,2.76,68.79,0.35,4.56
rambutan_nephelium_lappaceum,73.13,0.68,16.84,0.16,1.02
sapota_achras_sapota,73.37,0.92,13.9,1.26,9.6
soursop_annona_muricata,62.14,0.74,11.94,0.94,4.95
star_fruit_averrhoa_carambola,26.29,0.79,4.51,0.39,2.81
strawberry_fragaria_x_ananassa,24.62,0.97,3.4,0.56,2.5
tamarind_pulp_tamarindus_indica,288.47,2.92,67.35,0.15,5.31
water_melon_dark_green_sugar_baby_citrullus_vulgaris,20.32,0.6,3.86,0.16,0.7
water_melon_pale_green_citrullus_vulgaris,16.73,0.59,3.02,0.16,0.78
wood_apple_limonia_acidissima,78.15,3.14,7.52,3.62,5.21
zizyphus_zizyphus_jujube,48.76,1.34,9.4,0.35,3.73
ambada,48,0.7,4.5,3,1
amla,58,0.5,13.7,0.1,3.4
avocado_pear,215,1.7,0.8,22.8,0
